mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P01598,P01598|GmVIA|Conus gloriamaris|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus gloriamaris,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01603,P01603|TxVII|Conus textile|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus textile,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01611,P01611|PIIIE|Conus purpurascens|Wild type|conotoxin|M superfamily|alpha conotoxin|III|protein level,Conus purpurascens,Wild type,conotoxin,M superfamily,alpha conotoxin,III,protein level
P01615,P01615|SIIIB|Conus striatus|Wild type|conotoxin|M superfamily|mu conotoxin|III|protein level,Conus striatus,Wild type,conotoxin,M superfamily,mu conotoxin,III,protein level
P01616,P01616|TIIIA|Conus tulipa|Wild type|conotoxin|M superfamily|mu conotoxin|III|nucleic acid level,Conus tulipa,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level
P01617,P01617|Mo1274|Conus monile|Wild type|conotoxin|T superfamily||V|protein level,Conus monile,Wild type,conotoxin,T superfamily,,V,protein level
P01618,P01618|SrVA|Conus spurius|Wild type|conotoxin|T superfamily||V|protein level,Conus spurius,Wild type,conotoxin,T superfamily,,V,protein level
P01619,P01619|VilXIVA|Conus villepinii|Wild type|conotoxin|R superfamily||XIV|protein level,Conus villepinii,Wild type,conotoxin,R superfamily,,XIV,protein level
P01620,P01620|SmVIA|Conus stercusmuscarum|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus stercusmuscarum,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01621,P01621|MVID|Conus magus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01622,P01622|MVIC|Conus magus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01623,P01623|MVIB|Conus magus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01624,P01624|MVIA|Conus magus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus magus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01625,P01625|CVIE-2|Conus catus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01626,P01626|CnVIA|Conus consors|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus consors,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01627,P01627|BVIA|Conus bullatus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus bullatus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01628,P01628|AVIA|Conus aurisiacus|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|nucleic acid level,Conus aurisiacus,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,nucleic acid level
P01630,P01630|Am2766|Conus amadis|Wild type|conotoxin|O1 superfamily|delta conotoxin|VI/VII|protein level,Conus amadis,Wild type,conotoxin,O1 superfamily,delta conotoxin,VI/VII,protein level
P01632,P01632|CnVIIA|Conus consors|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus consors,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01634,P01634|TIA|Conus tulipa|Wild type|conotoxin|A superfamily|rho conotoxin|I|protein level,Conus tulipa,Wild type,conotoxin,A superfamily,rho conotoxin,I,protein level
P01635,P01635|EIVA|Conus ermineus|Wild type|conotoxin||alpha conotoxin|IV|protein level,Conus ermineus,Wild type,conotoxin,,alpha conotoxin,IV,protein level
P01636,P01636|PnVIIA|Conus pennaceus|Wild type|conotoxin|O2 superfamily|gamma conotoxin|VI/VII|protein level,Conus pennaceus,Wild type,conotoxin,O2 superfamily,gamma conotoxin,VI/VII,protein level
P01638,P01638|MVIIB|Conus magus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus magus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01662,P01662|SmIIIA|Conus stercusmuscarum|Wild type|conotoxin|M superfamily|mu conotoxin|III|nucleic acid level,Conus stercusmuscarum,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level
P01669,P01669|PIVF|Conus purpurascens|Wild type|conotoxin||kappa conotoxin|IV|protein level,Conus purpurascens,Wild type,conotoxin,,kappa conotoxin,IV,protein level
P01670,P01670|PIVE|Conus purpurascens|Wild type|conotoxin||kappa conotoxin|IV|protein level,Conus purpurascens,Wild type,conotoxin,,kappa conotoxin,IV,protein level
P01671,P01671|ViVB|Conus virgo|Wild type|conotoxin|T superfamily||V|protein level,Conus virgo,Wild type,conotoxin,T superfamily,,V,protein level
P01672,P01672|ViVA|Conus virgo|Wild type|conotoxin|T superfamily||V|protein level,Conus virgo,Wild type,conotoxin,T superfamily,,V,protein level
P01684,P01684|VxXXC|Conus vexillum|Wild type|conotoxin|D superfamily|alpha conotoxin|XX|protein level,Conus vexillum,Wild type,conotoxin,D superfamily,alpha conotoxin,XX,protein level
P01685,P01685|VxXXB|Conus vexillum|Wild type|conotoxin|D superfamily|alpha conotoxin|XX|protein level,Conus vexillum,Wild type,conotoxin,D superfamily,alpha conotoxin,XX,protein level
P01686,P01686|VxXXA|Conus vexillum|Wild type|conotoxin|D superfamily|alpha conotoxin|XX|protein level,Conus vexillum,Wild type,conotoxin,D superfamily,alpha conotoxin,XX,protein level
P01687,P01687|PeIVB|Conus pergrandis|Wild type|conotoxin|A superfamily|alpha conotoxin|IV|nucleic acid level,Conus pergrandis,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,nucleic acid level
P01688,P01688|OIVB|Conus obscurus|Wild type|conotoxin|A superfamily|alpha conotoxin|IV|protein level,Conus obscurus,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,protein level
P01689,P01689|PeIVA|Conus pergrandis|Wild type|conotoxin|A superfamily|alpha conotoxin|IV|nucleic acid level,Conus pergrandis,Wild type,conotoxin,A superfamily,alpha conotoxin,IV,nucleic acid level
P01690,P01690|CnIIIB|Conus consors|Wild type|conotoxin||mu conotoxin|III|protein level,Conus consors,Wild type,conotoxin,,mu conotoxin,III,protein level
P01691,P01691|MIIIA|Conus magus|Wild type|conotoxin||mu conotoxin|III|protein level,Conus magus,Wild type,conotoxin,,mu conotoxin,III,protein level
P01692,P01692|CIIIA|Conus catus|Wild type|conotoxin||mu conotoxin|III|protein level,Conus catus,Wild type,conotoxin,,mu conotoxin,III,protein level
P01693,P01693|CnIIIA|Conus consors|Wild type|conotoxin||mu conotoxin|III|protein level,Conus consors,Wild type,conotoxin,,mu conotoxin,III,protein level
P01725,P01725|CVIC|Conus catus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01726,P01726|CVIB|Conus catus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01727,P01727|TVIA|Conus tulipa|Wild type|conotoxin||omega conotoxin|VI/VII|Unknown,Conus tulipa,Wild type,conotoxin,,omega conotoxin,VI/VII,Unknown
P01728,P01728|RVIA|Conus radiatus|Wild type|conotoxin||omega conotoxin|VI/VII|Unknown,Conus radiatus,Wild type,conotoxin,,omega conotoxin,VI/VII,Unknown
P01735,P01735|AuVB|Conus aulicus|Wild type|conotoxin|||V|protein level,Conus aulicus,Wild type,conotoxin,,,V,protein level
P01736,P01736|AuVA|Conus aulicus|Wild type|conotoxin|||V|protein level,Conus aulicus,Wild type,conotoxin,,,V,protein level
P01737,P01737|MrIB|Conus marmoreus|Wild type|conotoxin|T superfamily|chi conotoxin|X|protein level,Conus marmoreus,Wild type,conotoxin,T superfamily,chi conotoxin,X,protein level
P01738,P01738|CMrX|Conus marmoreus|Wild type|conotoxin|T superfamily|chi conotoxin|X|protein level,Conus marmoreus,Wild type,conotoxin,T superfamily,chi conotoxin,X,protein level
P02694,P02694|Mr5.4a|Conus marmoreus|Wild type|conotoxin|T superfamily||V|protein level,Conus marmoreus,Wild type,conotoxin,T superfamily,,V,protein level
P01740,P01740|EIVB|Conus ermineus|Wild type|conotoxin||alpha conotoxin|IV|protein level,Conus ermineus,Wild type,conotoxin,,alpha conotoxin,IV,protein level
P01741,P01741|PnVIB|Conus pennaceus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus pennaceus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01742,P01742|PnVIA|Conus pennaceus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus pennaceus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01743,P01743|GVIIA|Conus geographus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus geographus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01744,P01744|GIIIC|Conus geographus|Wild type|conotoxin||mu conotoxin|III|protein level,Conus geographus,Wild type,conotoxin,,mu conotoxin,III,protein level
P01793,P01793|SVIB|Conus striatus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01794,P01794|SVIA|Conus striatus|Wild type|conotoxin|O1 superfamily|omega conotoxin|VI/VII|protein level,Conus striatus,Wild type,conotoxin,O1 superfamily,omega conotoxin,VI/VII,protein level
P01810,P01810|Textile convulsant peptide|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|Unknown,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,Unknown
P01811,P01811|Bromosleeper peptide|Conus radiatus|Wild type|conotoxin|O3 superfamily||VI/VII|protein level,Conus radiatus,Wild type,conotoxin,O3 superfamily,,VI/VII,protein level
P02228,P02228|PIIIA|Conus purpurascens|Wild type|conotoxin|M superfamily|mu conotoxin|III|nucleic acid level,Conus purpurascens,Wild type,conotoxin,M superfamily,mu conotoxin,III,nucleic acid level
P02481,P02481|Conophan-mus-V|Conus mus|Wild type|conophan||||protein level,Conus mus,Wild type,conophan,,,,protein level
P02482,P02482|Scratcher peptide|Conus geographus|Wild type|conotoxin|||XIV|Unknown,Conus geographus,Wild type,conotoxin,,,XIV,Unknown
P02483,P02483|Bn1.3|Conus bandanus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus bandanus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02484,P02484|ABVIA|Conus abbreviatus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus abbreviatus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P02485,P02485|Ac1.1b|Conus achatinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus achatinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02487,P02487|Ac4.2|Conus achatinus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus achatinus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02489,P02489|Ac4.3a|Conus achatinus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus achatinus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02490,P02490|Ac4.3b|Conus achatinus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus achatinus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02491,P02491|Mr1.1|Conus marmoreus|Wild type|conotoxin|A superfamily||I|protein level,Conus marmoreus,Wild type,conotoxin,A superfamily,,I,protein level
P02493,P02493|Mr1.2|Conus marmoreus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus marmoreus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02494,P02494|Mr1.3|Conus marmoreus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus marmoreus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02495,P02495|Mr3.3|Conus marmoreus|Wild type|conotoxin|M superfamily||III|protein level,Conus marmoreus,Wild type,conotoxin,M superfamily,,III,protein level
P02497,P02497|Lp1.4|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02498,P02498|Lp1.5|Conus leopardus|Wild type|conotoxin|A superfamily||I|Unknown,Conus leopardus,Wild type,conotoxin,A superfamily,,I,Unknown
P02499,P02499|Lp1.6a|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02500,P02500|Lp1.6b|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02501,P02501|AnIA|Conus anemone|Wild type|conotoxin||alpha conotoxin|I|protein level,Conus anemone,Wild type,conotoxin,,alpha conotoxin,I,protein level
P02502,P02502|Lp1.7|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02504,P02504|Lp1.9|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02503,P02503|Lp1.8|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02505,P02505|Lp1.10|Conus leopardus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus leopardus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02506,P02506|Qc1.1a|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02511,P02511|Qc1.2|Conus quercinus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level
P02507,P02507|Qc1.1b|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02508,P02508|Qc1.1c|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02509,P02509|Qc aL-2|Conus quercinus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P02510,P02510|Qc aL-1|Conus quercinus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P02513,P02513|Qc1.4|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02514,P02514|Qc1.4a|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02515,P02515|Qc1.4b|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02516,P02516|Qc1.5|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02517,P02517|Qc1.6|Conus quercinus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus quercinus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02518,P02518|Qc3.1|Conus quercinus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus quercinus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P02519,P02519|Pu1.1|Conus pulicarius|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02520,P02520|Pu1.2|Conus pulicarius|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02521,P02521|Pu1.3|Conus pulicarius|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus pulicarius,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02522,P02522|S1.1|Conus striatus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus striatus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P02524,P02524|SIVA|Conus striatus|Wild type|conotoxin|A superfamily|kappa conotoxin|IV|protein level,Conus striatus,Wild type,conotoxin,A superfamily,kappa conotoxin,IV,protein level
P02532,P02532|VxVIA|Conus vexillum|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus vexillum,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P02525,P02525|SIVB|Conus striatus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus striatus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02526,P02526|BtX|Conus betulinus|Wild type|conotoxin|I2 superfamily|kappa conotoxin|XI|protein level,Conus betulinus,Wild type,conotoxin,I2 superfamily,kappa conotoxin,XI,protein level
P02529,P02529|SmIVB|Conus stercusmuscarum|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus stercusmuscarum,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02530,P02530|SmIVA|Conus stercusmuscarum|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus stercusmuscarum,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P02531,P02531|Bn1.2|Conus bandanus|Wild type|conotoxin|||I|nucleic acid level,Conus bandanus,Wild type,conotoxin,,,I,nucleic acid level
P02533,P02533|VxVIB|Conus vexillum|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus vexillum,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P02535,P02535|Vc5.3|Conus victoriae|Wild type|conotoxin|T superfamily||V|nucleic acid level,Conus victoriae,Wild type,conotoxin,T superfamily,,V,nucleic acid level
P02536,P02536|Vc6.3|Conus victoriae|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus victoriae,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P02537,P02537|Vc6.4|Conus victoriae|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus victoriae,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P02538,P02538|Vc6.6|Conus victoriae|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus victoriae,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P02539,P02539|VcIA|Conus victoriae|Wild type|conotoxin|A superfamily||I|protein level,Conus victoriae,Wild type,conotoxin,A superfamily,,I,protein level
P02547,P02547|King-Kong 2|Conus textile|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus textile,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
